1 front 0 back 3 3.68208
1 front 0 back 0 3.89631
1 front 1 back 2 4.44599
1 front 1 back 3 3.81311
1 front 1 back 0 3.98321
1 front 2 back 2 4.52103
1 front 2 back 3 3.68208
1 front 2 back 0 3.95382
1 front 3 back 2 4.55951
1 front 3 back 3 3.68208
1 front 3 back 0 3.89631
3 front 1 back 2 3.81311
3 front 1 back 1 3.92485
3 front 1 back 3 4.13701
3 front 1 back 0 4.26886
3 front 2 back 2 3.86817
3 front 2 back 1 4.04334
3 front 2 back 3 3.98321
3 front 2 back 0 4.23512
3 front 3 back 2 3.92485
3 front 3 back 1 3.92485
3 front 3 back 3 3.95382
3 front 3 back 0 4.13701
7 front 0 back 2 3.65694
7 front 0 back 1 3.53625
7 front 0 back 3 4.23512
7 front 0 back 0 3.60769
7 front 1 back 2 3.65694
7 front 1 back 1 3.53625
7 front 1 back 3 4.23512
7 front 1 back 0 3.58356
7 front 2 back 2 3.68208
7 front 2 back 1 3.55975
7 front 2 back 3 4.13701
7 front 2 back 0 3.60769
7 front 3 back 2 3.68208
7 front 3 back 1 3.53625
7 front 3 back 3 4.23512
7 front 3 back 0 3.58356
9 front 0 back 2 3.68208
9 front 0 back 1 3.53625
9 front 0 back 3 3.51306
9 front 0 back 0 3.42327
9 front 1 back 2 3.70756
9 front 1 back 1 3.49018
9 front 1 back 3 3.63215
9 front 1 back 0 3.46759
9 front 2 back 2 3.70756
9 front 2 back 1 3.55975
9 front 2 back 3 3.53625
9 front 2 back 0 3.44529
9 front 3 back 2 3.7334
9 front 3 back 1 3.51306
9 front 3 back 3 3.53625
9 front 3 back 0 3.42327
