=========================================================
          SX3 BARREL AZIMUTHAL ANGLES (Degrees)          
=========================================================
 Det ID | Strip 0 | Strip 1 | Strip 2 | Strip 3 | Det Center
---------------------------------------------------------
    0   |   85.08 |   78.39 |   71.61 |   64.92 |    75.00
    1   |   55.08 |   48.39 |   41.61 |   34.92 |    45.00
    2   |   25.08 |   18.39 |   11.61 |    4.92 |    15.00
    3   |   -4.92 |  -11.61 |  -18.39 |  -25.08 |   -15.00
    4   |  -34.92 |  -41.61 |  -48.39 |  -55.08 |   -45.00
    5   |  -64.92 |  -71.61 |  -78.39 |  -85.08 |   -75.00
    6   |  -94.92 |  -101.61 |  -108.39 |  -115.08 |   -105.00
    7   |  -124.92 |  -131.61 |  -138.39 |  -145.08 |   -135.00
    8   |  -154.92 |  -161.61 |  -168.39 |  -175.08 |   -165.00
    9   |  175.08 |  168.39 |  161.61 |  154.92 |   165.00
   10   |  145.08 |  138.39 |  131.61 |  124.92 |   135.00
   11   |  115.08 |  108.39 |  101.61 |   94.92 |   105.00


=========================================================
     PROPORTIONAL COUNTER WIRE ANGLES (Degrees)          
=========================================================
 Wire ID | Anode (-z) | Anode (+z) | Cathode (-z) | Cathode (+z)
----------------------------------------------------------------
     0   |  -135.00   |   -90.00   |    -97.50    |   -142.50
     1   |  -150.00   |  -105.00   |    -82.50    |   -127.50
     2   |  -165.00   |  -120.00   |    -67.50    |   -112.50
     3   |  -180.00   |  -135.00   |    -52.50    |    -97.50
     4   |   165.00   |  -150.00   |    -37.50    |    -82.50
     5   |   150.00   |  -165.00   |    -22.50    |    -67.50
     6   |   135.00   |  -180.00   |     -7.50    |    -52.50
     7   |   120.00   |   165.00   |      7.50    |    -37.50
     8   |   105.00   |   150.00   |     22.50    |    -22.50
     9   |    90.00   |   135.00   |     37.50    |     -7.50
    10   |    75.00   |   120.00   |     52.50    |      7.50
    11   |    60.00   |   105.00   |     67.50    |     22.50
    12   |    45.00   |    90.00   |     82.50    |     37.50
    13   |    30.00   |    75.00   |     97.50    |     52.50
    14   |    15.00   |    60.00   |    112.50    |     67.50
    15   |     0.00   |    45.00   |    127.50    |     82.50
    16   |   -15.00   |    30.00   |    142.50    |     97.50
    17   |   -30.00   |    15.00   |    157.50    |    112.50
    18   |   -45.00   |     0.00   |    172.50    |    127.50
    19   |   -60.00   |   -15.00   |   -172.50    |    142.50
    20   |   -75.00   |   -30.00   |   -157.50    |    157.50
    21   |   -90.00   |   -45.00   |   -142.50    |    172.50
    22   |  -105.00   |   -60.00   |   -127.50    |   -172.50
    23   |  -120.00   |   -75.00   |   -112.50    |   -157.50
