HistogramIndex	PeakNumber	Centroid	Amplitude	Sigma
1	1	922.213
1	2	1885.55
1	3	2845.53
1	4	3810.32
2	1	955.591
2	2	1953.17
2	3	2949.37
2	4	3950.79
3	1	995.787
3	2	2036.58
3	3	3076.91
3	4	4112.05
4	1	1017.48
4	2	2080.19
4	3	3142.24
4	4	4206.1
5	1	1022.78
5	2	2091.21
5	3	3158.28
5	4	4226.97
6	1	1076.22
6	2	2203.37
6	3	3329.53
6	4	4457.69
7	1	977.46
7	2	1998.02
7	3	3017.36
7	4	4040.47
8	1	1049.74
8	2	2144.38
8	3	3238.2
8	4	4335.25
9	1	1000.59
9	2	2046.42
9	3	3090.29
9	4	4129.63
10	1	1014.92
10	2	2076.16
10	3	3134.59
10	4	4213.42
11	1	1004.85
11	2	2052.88
11	3	3100.3
11	4	4164.75
12	1	945.861
12	2	1932.49
12	3	2917.95
12	4	3955.15
13	1	998.307
13	2	2040.38
13	3	3078.76
13	4	4135.51
14	1	966.429
14	2	1972.15
14	3	2974.84
14	4	4056.41
15	1	958.352
15	2	1958.64
15	3	2957.7
15	4	3970.41
16	1	970.732
16	2	1977.63
16	3	2984.97
16	4	4002.56
17	1	1013.65
17	2	2064.9
17	3	3114.19
17	4	4190.98
18	1	975.538
18	2	1990.64
18	3	3005.46
18	4	4048.99
20	1	912.778
20	2	1866.83
20	3	2819.21
20	4	3781.63
21	1	1002.36
21	2	1989.95
21	3	2975.53
21	4	3986.71
22	1	1075.38
22	2	2144.25
22	3	3210.17
22	4	4312.84
23	1	988.828
23	2	2016.35
23	3	3044.19
23	4	4082.41
